person,person_label,person_description,refurl,orderaus,award_name,honsid,date_awarded,sitelink
http://www.wikidata.org/entity/Q1239052,Don Chipp,Australian politician (1925-2006),https://honours.pmc.gov.au/honours/awards/884345,http://www.wikidata.org/entity/Q9684829,NA,884345,1992-06-08T00:00:00Z,https://en.wikipedia.org/wiki/Don_Chipp
http://www.wikidata.org/entity/Q1239291,Alexander Downer,Australian politician,NA,http://www.wikidata.org/entity/Q9680541,NA,1146684,2013-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Alexander_Downer
http://www.wikidata.org/entity/Q1239715,Donald Dunstan,Governor of South Australia (1982-91),NA,http://www.wikidata.org/entity/Q9680541,NA,885281,1991-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Donald_Dunstan_(governor)
http://www.wikidata.org/entity/Q1240162,Donald Metcalf,Australian medical researcher (1929-2014),https://honours.pmc.gov.au/honours/awards/883782,http://www.wikidata.org/entity/Q9684829,NA,883782,1976-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Donald_Metcalf
http://www.wikidata.org/entity/Q1240162,Donald Metcalf,Australian medical researcher (1929-2014),https://honours.pmc.gov.au/honours/awards/883432,http://www.wikidata.org/entity/Q9680541,NA,883432,1993-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Donald_Metcalf
http://www.wikidata.org/entity/Q1240356,Donald Shanks,Australian bass-baritone opera singer,https://honours.pmc.gov.au/honours/awards/870073,http://www.wikidata.org/entity/Q9684829,NA,870073,1987-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Donald_Shanks_(bass-baritone)
http://www.wikidata.org/entity/Q1245297,Doris Pilkington Garimara,Indigenous Australian author,https://honours.pmc.gov.au/honours/awards/1131438,http://www.wikidata.org/entity/Q9678710,NA,1131438,2006-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Doris_Pilkington_Garimara
http://www.wikidata.org/entity/Q1251694,Doug Anthony,"Australian politician, Deputy Prime Minister of Australia",https://honours.pmc.gov.au/honours/awards/1043205,http://www.wikidata.org/entity/Q9680541,NA,1043205,2003-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Doug_Anthony
http://www.wikidata.org/entity/Q1258722,Drew Ginn,Australian rower and cyclist,NA,http://www.wikidata.org/entity/Q9682417,NA,887465,1997-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Drew_Ginn
http://www.wikidata.org/entity/Q1265388,Duncan Free,Australian rower,NA,http://www.wikidata.org/entity/Q9682417,NA,1139925,2009-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Duncan_Free
http://www.wikidata.org/entity/Q1277286,Eddie Charlton,Australian snooker player,https://honours.pmc.gov.au/honours/awards/886466,http://www.wikidata.org/entity/Q9678710,NA,886466,1980-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Eddie_Charlton
http://www.wikidata.org/entity/Q1277577,Frank Lowy,Australian businessman and founder and chairman of Westfield,https://honours.pmc.gov.au/honours/awards/1129636,http://www.wikidata.org/entity/Q9680541,NA,1129636,2000-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Frank_Lowy
http://www.wikidata.org/entity/Q1281027,Tofilau Eti Alesana,Prime Minister of Samoa,https://honours.pmc.gov.au/honours/awards/882059,http://www.wikidata.org/entity/Q15280138,NA,882059,1994-07-06T00:00:00Z,https://en.wikipedia.org/wiki/Tofilau_Eti_Alesana
http://www.wikidata.org/entity/Q189186,Zelman Cowen,former Governor-General of Australia (1919-2011),https://honours.pmc.gov.au/honours/awards/885248,http://www.wikidata.org/entity/Q9684031,NA,885248,1977-12-08T00:00:00Z,https://en.wikipedia.org/wiki/Zelman_Cowen
http://www.wikidata.org/entity/Q190919,Cadel Evans,Australian road bicycle racer,https://honours.pmc.gov.au/honours/awards/1147801,http://www.wikidata.org/entity/Q9678710,NA,1147801,2013-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Cadel_Evans
http://www.wikidata.org/entity/Q192668,Nick Cave,Australian musician,https://honours.pmc.gov.au/honours/awards/1154598,http://www.wikidata.org/entity/Q9684829,NA,1154598,2017-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Nick_Cave
http://www.wikidata.org/entity/Q193550,Frank Macfarlane Burnet,Australian virologist (1899-1985),https://honours.pmc.gov.au/honours/awards/886074,http://www.wikidata.org/entity/Q9684031,NA,886074,1978-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Macfarlane_Burnet
http://www.wikidata.org/entity/Q195281,Mathew Belcher,Australian sailor,NA,http://www.wikidata.org/entity/Q9682417,NA,1149054,2014-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Mathew_Belcher
http://www.wikidata.org/entity/Q195313,Samuel Warren Carey,Australian geologist (1911-2002),https://honours.pmc.gov.au/honours/awards/881524,http://www.wikidata.org/entity/Q9684829,NA,881524,1977-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Samuel_Warren_Carey
http://www.wikidata.org/entity/Q201433,Dorothy Coade Hewett,"author, playwright and poet from Western Australia (1923-2002)",https://honours.pmc.gov.au/honours/awards/870127,http://www.wikidata.org/entity/Q9678710,NA,870127,1986-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Dorothy_Hewett
http://www.wikidata.org/entity/Q201452,Brian Schmidt,American-born Australian astrophysicist,https://honours.pmc.gov.au/honours/awards/1146686,http://www.wikidata.org/entity/Q9680541,NA,1146686,2013-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Brian_Schmidt
http://www.wikidata.org/entity/Q202053,Brian Tobin,Australian tennis official,https://honours.pmc.gov.au/honours/awards/886237,http://www.wikidata.org/entity/Q9678710,NA,886237,1986-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Brian_Tobin_(tennis)
http://www.wikidata.org/entity/Q202136,Barry Marshall,"Nobel Prize winner, and Professor of Clinical Microbiology",https://honours.pmc.gov.au/honours/awards/1133678,http://www.wikidata.org/entity/Q9680541,NA,1133678,2007-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Barry_Marshall
http://www.wikidata.org/entity/Q202342,Margaret Court,Australian tennis player,NA,http://www.wikidata.org/entity/Q9684829,NA,1133690,2007-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Margaret_Court
http://www.wikidata.org/entity/Q202342,Margaret Court,Australian tennis player,https://honours.pmc.gov.au/honours/awards/2007753,http://www.wikidata.org/entity/Q9680541,NA,2007753,2021-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Margaret_Court
http://www.wikidata.org/entity/Q322172,Charles Mackerras,Australian conductor (1925-2010),NA,http://www.wikidata.org/entity/Q9680541,NA,870019,1997-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Charles_Mackerras
http://www.wikidata.org/entity/Q322706,William A. Bradfield,Australian amateur astronomer,https://honours.pmc.gov.au/honours/awards/885992,http://www.wikidata.org/entity/Q9678710,NA,885992,1989-01-26T00:00:00Z,https://en.wikipedia.org/wiki/William_A._Bradfield
http://www.wikidata.org/entity/Q325406,Paul Mercurio,Australian actor and dancer,https://honours.pmc.gov.au/honours/awards/2005289,http://www.wikidata.org/entity/Q9678710,NA,2005289,2020-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Paul_Mercurio
http://www.wikidata.org/entity/Q325608,Dean Lukin,Australian weightlifter,https://honours.pmc.gov.au/honours/awards/887421,http://www.wikidata.org/entity/Q9682417,NA,887421,1985-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Dean_Lukin
http://www.wikidata.org/entity/Q325890,A. D. Hope,Australian poet and essayist (1907-2000),https://honours.pmc.gov.au/honours/awards/870165,http://www.wikidata.org/entity/Q9680541,NA,870165,1981-01-26T00:00:00Z,https://en.wikipedia.org/wiki/A._D._Hope
http://www.wikidata.org/entity/Q326245,Nathan Outteridge,Australian sailor,NA,http://www.wikidata.org/entity/Q9682417,NA,1149365,2014-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Nathan_Outteridge
http://www.wikidata.org/entity/Q326911,Geoffrey Parsons,Australian pianist (1929-1995),https://honours.pmc.gov.au/honours/awards/870171,http://www.wikidata.org/entity/Q9684829,NA,870171,1990-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Geoffrey_Parsons_(pianist)
http://www.wikidata.org/entity/Q329674,Stephen Wooldridge,Australian cyclist,NA,http://www.wikidata.org/entity/Q9682417,NA,1058134,2005-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Stephen_Wooldridge
http://www.wikidata.org/entity/Q332818,"Edward Shackleton, Baron Shackleton",British politician (1911-1994),https://honours.pmc.gov.au/honours/awards/882096,http://www.wikidata.org/entity/Q15280138,NA,882096,1990-01-26T00:00:00Z,"https://en.wikipedia.org/wiki/Edward_Shackleton,_Baron_Shackleton"
http://www.wikidata.org/entity/Q333509,Glenn Murcutt,Architect (b.1936),https://honours.pmc.gov.au/honours/awards/869613,http://www.wikidata.org/entity/Q9684829,NA,869613,1996-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Glenn_Murcutt
http://www.wikidata.org/entity/Q335312,Todd Woodbridge,Australian tennis player,https://honours.pmc.gov.au/honours/awards/887483,http://www.wikidata.org/entity/Q9682417,NA,887483,1997-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Todd_Woodbridge
http://www.wikidata.org/entity/Q336397,"Robert May, Baron May of Oxford",Australian scientist who has been Chief Scientific Adviser to the UK Government (1936-2020),https://honours.pmc.gov.au/honours/awards/885929,http://www.wikidata.org/entity/Q9680541,NA,885929,1998-01-26T00:00:00Z,"https://en.wikipedia.org/wiki/Robert_May,_Baron_May_of_Oxford"
http://www.wikidata.org/entity/Q336609,"George Lascelles, 7th Earl of Harewood",British noble (1923-2011),https://honours.pmc.gov.au/honours/awards/1143278,http://www.wikidata.org/entity/Q56449119,NA,1143278,2010-07-01T00:00:00Z,"https://en.wikipedia.org/wiki/George_Lascelles,_7th_Earl_of_Harewood"
